product_code,barcode,name,category_id,supplier_id,brand_id,pack_size,quantity,pack_purchase_price,pack_sale_price,unit_purchase_price,unit_sale_price,avg_price,narcotics
PRD-00001,PD00000001,ACOZINE INJECTION 10MG/ ML 50ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00002,PD00000002,ASPIRIN TABLET 300MG (KPLP) 13453,1,1,1,1000,0,0,0,0,0,0,0
PRD-00003,PD00000003,ASPIRIN TABLET 300MG (KPLP) 13454,1,1,1,200,0,0,0,0,0,0,0
PRD-00004,PD00000004,BINAPLEX SYRUP 120ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00005,PD00000005,BINAPLEX SYRUP 450ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00006,PD00000006,BINAPLEX SYRUP 60ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00007,PD00000007,BINAPLEX TABLET .,1,1,1,1000,0,0,0,0,0,0,0
PRD-00008,PD00000008,BINAQUINE TABLET 250MG (KPLP) 13496,1,1,1,200,0,0,0,0,0,0,0
PRD-00009,PD00000009,BINAQUINE TABLET 250MG (KPLP) 13497,1,1,1,1000,0,0,0,0,0,0,0
PRD-00010,PD00000010,BINAQUINE TABLET 81MG,1,1,1,1000,0,0,0,0,0,0,0
PRD-00011,PD00000011,ALTIM 5ML EYE DROP,1,1,1,1,0,131.75,155,131.75,155,131.75,0
PRD-00012,PD00000012,DICIP 5ML EYE DROP,1,1,1,1,0,139.07,163.61,139.07,163.61,139.07,0
PRD-00013,PD00000013,CARMINATIVE MIXTURE SOLUTION 120ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00014,PD00000014,CARMINATIVE MIXTURE SOLUTION 450ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00015,PD00000015,ZEVIROL EXPECTORANT 120ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00016,PD00000016,ZINCOCID EYE DROP 20ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00017,PD00000017,ADERNALINE INJECTION 1MG/ML,1,1,1,100,0,0,0,0,0,0,0
PRD-00018,PD00000018,AMIKOSIDE INJECTION 100MG/2ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00019,PD00000019,AMIKOSIDE INJECTION 500MG/2ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00020,PD00000020,AMPLIPEN INJECTION 250MG,1,1,1,1,0,0,0,0,0,0,0
PRD-00021,PD00000021,AMPLIPEN INJECTION 500MG,1,1,1,1,0,0,0,0,0,0,0
PRD-00022,PD00000022,ANAMOL SYRUP 60ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00023,PD00000023,APOCLOX CAPSULE 500MG,1,1,1,20,0,0,0,0,0,0,0
PRD-00024,PD00000024,APOCLOX INJECTION 250MG,1,1,1,1,0,0,0,0,0,0,0
PRD-00025,PD00000025,ATROPINE INJECTION 1MG/ML,1,1,1,100,0,0,0,0,0,0,0
PRD-00026,PD00000026,AZIROLIDE CAPSULE 250MG,1,1,1,10,0,0,0,0,0,0,0
PRD-00027,PD00000027,QCO 50MG CAP,1,1,1,30,0,0,0,0,0,0,0
PRD-00028,PD00000028,BROZINIL TABLET .,1,1,1,30,0,0,0,0,0,0,0
PRD-00029,PD00000029,COLITRAN SUSPENSION  50ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00030,PD00000030,COLITRAN TABLET .,1,1,1,200,0,0,0,0,0,0,0
PRD-00031,PD00000031,COLITRAN TABLET DS,1,1,1,100,0,0,0,0,0,0,0
PRD-00032,PD00000032,CORINOR TABLET 10MG,1,1,1,20,0,0,0,0,0,0,0
PRD-00033,PD00000033,KEUNE HAIR COLOUR NO.4.56   60ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00034,PD00000034,KEUNE HAIR COLOUR NO.4.6   60ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00035,PD00000035,KEUNE HAIR COLOUR NO.4.7   60ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00036,PD00000036,KEUNE HAIR COLOUR NO.5   60ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00037,PD00000037,KEUNE HAIR COLOUR NO.5.3   60ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00038,PD00000038,KEUNE HAIR COLOUR NO.5.35 60ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00039,PD00000039,KEUNE HAIR COLOUR NO.5.4   60ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00040,PD00000040,KEUNE HAIR COLOUR NO.5.5   60ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00041,PD00000041,HITROXIN TABLET 250MG,1,1,1,10,0,0,0,0,0,0,0
PRD-00042,PD00000042,HITROXIN TABLET 500MG,1,1,1,10,0,0,0,0,0,0,0
PRD-00043,PD00000043,ITRANEX CAPSULE 100MG,1,1,1,4,0,0,0,0,0,0,0
PRD-00044,PD00000044,FLUACE INSTA SATCHE,1,1,1,10,10,255,300.4,25.5,30.04,25.5,0
PRD-00045,PD00000045,KARBATON TABLET 200MG,1,1,1,50,0,0,0,0,0,0,0
PRD-00046,PD00000046,LOCASALIC OINTMENT 15GM 1'S,1,1,1,1,0,0,0,0,0,0,0
PRD-00047,PD00000047,LOTRICORT CREAM 15GM,1,1,1,1,0,0,0,0,0,0,0
PRD-00048,PD00000048,LOTRICORT CREAM 5GM,1,1,1,1,0,0,0,0,0,0,0
PRD-00049,PD00000049,LOTRICORT CREAM G  10GM,1,1,1,1,0,0,0,0,0,0,0
PRD-00050,PD00000050,LOTRICORT CREAM G 15GRM,1,1,1,1,0,0,0,0,0,0,0
PRD-00051,PD00000051,LOTRIGEN CREAM 15GM,1,1,1,1,0,0,0,0,0,0,0
PRD-00052,PD00000052,MACLEXIN CAPSULE 250mg,1,1,1,100,0,0,0,0,0,0,0
PRD-00053,PD00000053,PISTIN 10MG TAB,1,1,1,10,0,153,180,15.3,18,14.841,0
PRD-00054,PD00000054,MACLEXIN INJECTION 500MG,1,1,1,1,0,0,0,0,0,0,0
PRD-00055,PD00000055,M ZAM 250MG TAB,1,1,1,6,0,187,220.02,31.167,36.67,20.778,0
PRD-00056,PD00000056,MACLEXIN SUSPENSION  125MG     60ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00057,PD00000057,MACLEXIN SUSPENSION  250MG   60ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00058,PD00000058,MASPRIN TABLET 150MG,1,1,1,30,0,0,0,0,0,0,0
PRD-00059,PD00000059,MASPRIN TABLET 75MG,1,1,1,30,0,0,0,0,0,0,0
PRD-00060,PD00000060,MAZIVIT INJECTION 3ML,1,1,1,25,0,0,0,0,0,0,0
PRD-00061,PD00000061,MEDIVIRIN CAPSULE 200MG,1,1,1,10,0,0,0,0,0,0,0
PRD-00062,PD00000062,MEDIVIRIN CAPSULE 400MG,1,1,1,10,0,0,0,0,0,0,0
PRD-00063,PD00000063,MEDIVIRIN SUSPENSION  50MG   60ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00064,PD00000064,METAZEM TABLET 60MG,1,1,1,100,0,0,0,0,0,0,0
PRD-00065,PD00000065,MINK INJECTION 100MG/ 2ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00066,PD00000066,MYAMBUTOL TABLET -INH,1,1,1,100,0,0,0,0,0,0,0
PRD-00067,PD00000067,MYAMBUTOL TABLET -INH FORTE,1,1,1,100,0,0,0,0,0,0,0
PRD-00068,PD00000068,MYRIN-P TABLET .,1,1,1,100,0,0,0,0,0,0,0
PRD-00069,PD00000069,MYRIN-P TABLET FORTE,1,1,1,80,0,1332.47,1568,16.656,19.6,16.656,0
PRD-00070,PD00000070,NILSTAT OINTMENT 15GM,1,1,1,1,0,0,0,0,0,0,0
PRD-00071,PD00000071,NILSTAT ORAL DROP 30ML,1,1,1,1,10,143.76,170,143.76,170,143.76,0
PRD-00072,PD00000072,NILSTAT TABLET VAGINAL,1,1,1,10,0,0,0,0,0,0,0
PRD-00073,PD00000073,NORDETTE TABLET 28,1,1,1,28,0,0,0,0,0,0,0
PRD-00074,PD00000074,OMNIPEN CAPSULE 250MG,1,1,1,100,0,0,0,0,0,0,0
PRD-00075,PD00000075,OMNIPEN CAPSULE 500MG,1,1,1,50,0,0,0,0,0,0,0
PRD-00076,PD00000076,OMNIPEN INJECTION N 250MG,1,1,1,10,0,0,0,0,0,0,0
PRD-00077,PD00000077,OMNIPEN SUSPENSION  125MG 60ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00078,PD00000078,RAST TABLET 10MG,1,1,1,10,4,263.5,310,26.35,31,26.35,0
PRD-00079,PD00000079,RAST TABLET 20MG,1,1,1,10,12,411.4,484,41.14,48.4,41.14,0
PRD-00080,PD00000080,GENTLE CREAM FACE WASH 100ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00081,PD00000081,SCABICURE SUSPENSION  450ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00082,PD00000082,MEPTIN SYRUP 120ML,1,1,1,1,0,0,0,0,0,0,0
PRD-00083,PD00000083,NUTRAFIL LF MILK,1,1,1,1,0,2700,3000,2700,3000,2700,0
PRD-00084,PD00000084,NUTREFER SACHET ALL FLAV,1,1,1,10,0,0,0,0,0,0,0
PRD-00085,PD00000085,NUTREVA FORMULA POWDER .,1,1,1,1,0,0,0,0,0,0,0
PRD-00086,PD00000086,ORA RICE POUCH,1,1,1,1,0,0,0,0,0,0,0
PRD-00087,PD00000087,OSPOR ORAL SUSP 5ML,1,1,1,8,0,0,0,0,0,0,0
PRD-00088,PD00000088,OSTIBON TAB,1,1,1,30,0,663,780.3,22.1,26.01,22.1,0
PRD-00089,PD00000089,PARASUP 150MG SUPPOSITORY,1,1,1,10,0,0,0,0,0,0,0
PRD-00090,PD00000090,PREPRO SACHETS,1,1,1,12,4,720.98,991,60.082,82.58,60,0
PRD-00091,PD00000091,PROCOLIC ORAL DROPS 4.5ML,1,1,1,1,2,1026.06,1156,1026.06,1156,1026.06,0
PRD-00092,PD00000092,PRULAX JUNIOR SYP,1,1,1,1,1,208,236,208,236,208,0
