id,product_code,name,brand_id,unit_sale_price,category_id,supplier_id,pack_purchase_price,pack_sale_price,pack_size,unit_purchase_price,narcotics,barcode
1,PRD-00001,Hipril 10mg Tab,1,3.45,1,1,60,69,20,3,0,PD00000001
2,PRD-00002,Profit Capsules,1,16.33,1,1,416.5,490,30,13.88333333,0,PD00000002
3,PRD-00003,Testing,1,1,1,1,1,1,1,1,0,PD00000003
4,PRD-00004,Ceftron 250mg Iv Ing,2,130,1,1,106.6,130,1,106.6,0,PD00000004
5,PRD-00005,Ceftron 500mg Im Ing,2,212,1,1,0,212,1,0,0,PD00000005
6,PRD-00006,Ceftron 500mg Iv Ing,2,212,1,1,171,212,1,171,0,PD00000006
7,PRD-00007,Ceftron Ig Im Ing,2,413,1,1,351.05,413,1,351.05,0,PD00000007
8,PRD-00008,Ceftron Ig Iv Ing,2,413,1,1,351.05,413,1,351.05,0,PD00000008
9,PRD-00009,Ceporin 500mg Tab,2,11.11,1,1,0,133.3,12,0,0,PD00000009
10,PRD-00010,Cica Care 12cm*15cm,2,1837,1,1,1653.3,1837,1,1653.3,0,PD00000010
11,PRD-00011,Ciprocin 250mg Tab,2,20,1,1,158.1,200,10,15.81,0,PD00000011
12,PRD-00012,Ciprocin 500mg Tab,2,21.5,1,1,183,215,10,18.3,0,PD00000012
13,PRD-00013,Clofenac Gel 20 Gm,2,63,1,1,0,63,1,0,0,PD00000013
14,PRD-00014,Dibenol Tab,2,0.76,1,1,39.6,45.55,60,0.66,0,PD00000014
15,PRD-00015,Diltizem 30 Mg Tab,2,3.36,1,1,0,67.2,20,0,0,PD00000015
16,PRD-00016,Diltizem 60 Mg Tab,2,6.2,1,1,0,124,20,0,0,PD00000016
17,PRD-00017,Flugal 150mg Cap,2,180,1,1,148.4,180,1,148.4,0,PD00000017
18,PRD-00018,Flugal 50mg Cap,2,63.6,1,1,378.42,445.2,7,54.06,0,PD00000018
19,PRD-00019,Flugal Susp 35ml,2,200,1,1,170,200,1,170,0,PD00000019
20,PRD-00020,Neotack 150mg Tab,2,5,1,1,45,50,10,4.5,0,PD00000020
21,PRD-00021,Neotack 2ml Inj,2,14.84,1,1,122.4,148.4,10,12.24,0,PD00000021
22,PRD-00022,Neotack 300mg Tab,2,13,1,1,110.3,130,10,11.03,0,PD00000022
23,PRD-00023,Prolert Cap,2,13,1,1,212,260,20,10.6,0,PD00000023
24,PRD-00024,Rutix 200mg Tab,2,10,1,1,95,100,10,9.5,0,PD00000024
25,PRD-00025,Steri Strip 12mmx100mm R1547,2,70,1,1,56.43,70,1,56.43,0,PD00000025
26,PRD-00026,Steri Strip 6mmx100mm R1546,2,70,1,1,56.43,70,1,56.43,0,PD00000026
27,PRD-00027,Steri Strip 6mmx38mm R1542,2,35,1,1,26.5,35,1,26.5,0,PD00000027
28,PRD-00028,Syntec 20mg Tab,2,7.8,1,1,66.3,78,10,6.63,0,PD00000028
29,PRD-00029,Verticil 125mg Tab,2,31.3,1,1,266.05,313,10,26.605,0,PD00000029
30,PRD-00030,Zimax Susp 15ml,2,180,1,1,162,180,1,162,0,PD00000030
31,PRD-00031,Hair Con Serum 100ml,3,830,1,1,705.5,830,1,705.5,0,PD00000031
32,PRD-00032,Hair Con Shampoo 100ml,3,680,1,1,578,680,1,578,0,PD00000032
33,PRD-00033,Loratine 10mg Tab,3,12.3,1,1,104.55,123,10,10.455,0,PD00000033
34,PRD-00034,Micropore Sugical Tape 1~,3,20,1,1,0,20,1,0,0,PD00000034
35,PRD-00035,Micropore Surgical Tape 2~,3,40,1,1,29.16,40,1,29.16,0,PD00000035
36,PRD-00036,Tanspore Surgical Tape 1~,3,25,1,1,203,250,10,20.3,0,PD00000036
37,PRD-00037,Transpor 3in,3,158,1,1,137.5,158,1,137.5,0,PD00000037
38,PRD-00038,"Transpore 1"" (10yds)",3,66,1,1,607.67,792,12,50.63916667,0,PD00000038
39,PRD-00039,"Transpore 2"" Tape",3,74,1,2,65,74,1,65,0,PD00000039
40,PRD-00040,Transpore 2in*10yd,3,110,1,1,93.9,110,1,93.9,0,PD00000040
41,PRD-00041,Transpore Homecare 12.5mm X 4.5m,3,1.25,1,1,21.5,30,24,0.895833333,0,PD00000041
42,PRD-00042,Venous Cannula 2st Sarns 36*51,3,2200,1,1,2000,2200,1,2000,0,PD00000042
43,PRD-00043,Daikin 75mg Tab,4,4.5,1,1,76.5,90,20,3.825,0,PD00000043
44,PRD-00044,Leogen 500mg Tab,4,26,1,1,221,260,10,22.1,0,PD00000044
45,PRD-00045,Leogen Tab 250mg,4,15,1,1,127.5,150,10,12.75,0,PD00000045
46,PRD-00046,Medifen Sr Tab,4,6.67,1,1,170,200,30,5.666666667,0,PD00000046
47,PRD-00047,Sipo 250mg Tab,4,13,1,1,110.5,130,10,11.05,0,PD00000047
48,PRD-00048,Airows 10mg Tab,5,19.29,1,1,229.5,270,14,16.39285714,0,PD00000048
49,PRD-00049,Aristin C 250mg Tab,5,21,1,1,189,210,10,18.9,0,PD00000049
50,PRD-00050,Aristin C 500mg Tab,5,38,1,1,342,380,10,34.2,0,PD00000050
51,PRD-00051,Bectazim 400mg Cap,5,65,1,1,276.25,325,5,55.25,0,PD00000051
52,PRD-00052,Bonefos 400mg Cap,5,97.9,1,1,2496.45,2937,30,83.215,0,PD00000052
53,PRD-00053,Bonefos 60mg Ing,5,1320,1,1,5610,6600,5,1122,0,PD00000053
54,PRD-00054,Cystrin 3mg,5,12.8,1,1,1152,1280,100,11.52,0,PD00000054
55,PRD-00055,Dobuject 250mg Ing,5,295,1,1,1300.95,1475,5,260.19,0,PD00000055
56,PRD-00056,Frostat 40mg Tab,5,10,1,1,170,200,20,8.5,0,PD00000056
57,PRD-00057,Frostat 80mg Tab,5,14.5,1,1,246.5,290,20,12.325,0,PD00000057
58,PRD-00058,Isoday 40mg Cap,5,6.04,1,1,510.3,604,100,5.103,0,PD00000058
59,PRD-00059,"Lucast 4mg Tab 14,s",5,12,1,1,142.8,168,14,10.2,0,PD00000059
60,PRD-00060,Neo Endusix 20mg Ing,5,45,1,1,40.5,45,1,40.5,0,PD00000060
61,PRD-00061,Neo Endusix 20mg Tab,5,11.77,1,1,317.7,353,30,10.59,0,PD00000061
62,PRD-00062,Nitroanl 50ml Vail,5,385,1,1,0,385,1,0,0,PD00000062
63,PRD-00063,Nitronal 50ml Vail,5,385,1,1,283,385,1,283,0,PD00000063
64,PRD-00064,Nitronal 5mg Ampoule,5,68.5,1,1,500,685,10,50,0,PD00000064
65,PRD-00065,Nortenalol 100mg Tab,5,6,1,1,0,168,28,0,0,PD00000065
66,PRD-00066,Nortenalol 50mg Tab,5,3.5,1,1,0,98,28,0,0,PD00000066
67,PRD-00067,Cefzo 1gm Inj,6,139.26,1,1,118.37,139.26,1,118.37,0,PD00000067
68,PRD-00068,Cefzo 500mg Inj,6,73.63,1,1,62.37,73.63,1,62.37,0,PD00000068
69,PRD-00069,Supraflox 250mg Tab,6,10,1,1,85,100,10,8.5,0,PD00000069
70,PRD-00070,Ensure Choclate 400gm,7,2250,1,3,2062.33,2250,1,2062.33,0,PD00000070
71,PRD-00071,Ensure Choclate 850gm,7,4300,1,3,4022.47,4300,1,4022.47,0,PD00000071
72,PRD-00072,Ensure Nutrivigor 400gm,7,2123,1,3,1944,2123,1,1944,0,PD00000072
73,PRD-00073,Ensure Plus 250ml Liq,7,278.8,1,3,255.76,278.8,1,255.76,0,PD00000073
74,PRD-00074,Ensure Strawberry 400gm,7,1896,1,3,1738,1896,1,1738,0,PD00000074
75,PRD-00075,Ensure Strawberry 850gm,7,2350,1,3,2111,2350,1,2111,0,PD00000075
76,PRD-00076,Ensure Sugar Free 400gm,7,1520,1,3,1373.42,1520,1,1373.42,0,PD00000076
77,PRD-00077,Ensure Vanila 400gm,7,2750,1,3,2520.5,2750,1,2520.5,0,PD00000077
78,PRD-00078,Ensure Vanila 850gm,7,4300,1,3,3941,4300,1,3941,0,PD00000078
79,PRD-00079,Glucerna Liquid,7,278.8,1,3,255.76,278.8,1,255.76,0,PD00000079
80,PRD-00080,Glucerna Powder (choc) 400gm,7,2542,1,3,2330.24,2542,1,2330.24,0,PD00000080
81,PRD-00081,Glucerna Powder (vanila) 400gm,7,3300,1,3,3051,3300,1,3051,0,PD00000081
82,PRD-00082,Pediasure Chocalte 400gm,7,2420,1,3,2237.5,2420,1,2237.5,0,PD00000082
83,PRD-00083,Pediasure Choclate 850gm,7,5340,1,3,4894,5340,1,4894,0,PD00000083
84,PRD-00084,Pediasure Strawberry 400gm,7,2420,1,3,2237.5,2420,1,2237.5,0,PD00000084
85,PRD-00085,Pediasure Strawberry 850gm,7,4510,1,3,3272.5,4510,1,3272.5,0,PD00000085
86,PRD-00086,Pediasure Vanila (soft Pack) 200gm,7,1220,1,3,1118.5,1220,1,1118.5,0,PD00000086
87,PRD-00087,Pediasure Vanila 400gm,7,2420,1,3,2237.5,2420,1,2237.5,0,PD00000087
88,PRD-00088,Pediasure Vanila 850gm,7,4515,1,3,4194.75,4515,1,4194.75,0,PD00000088
89,PRD-00089,Similac 1 400g Powder,7,1029,1,3,957,1029,1,957,0,PD00000089
90,PRD-00090,Similac 2 400g Powder,7,1360,1,3,1255,1360,1,1255,0,PD00000090
91,PRD-00091,Similac 3 Gain 400g Powder,7,1100,1,3,957,1100,1,957,0,PD00000091
92,PRD-00092,Similac Isomil 400g Milk Powder,7,2100,1,3,1964.5,2100,1,1964.5,0,PD00000092
93,PRD-00093,Similac Mom 400g Powder,7,850,1,3,782,850,1,782,0,PD00000093
94,PRD-00094,Similac Total Comfort 1 360g,7,2250,1,3,2071,2250,1,2071,0,PD00000094
95,PRD-00095,Similac Total Comfort 2 360gm,7,1820,1,3,1695.5,1820,1,1695.5,0,PD00000095
96,PRD-00096,Similac Total Comfort 3 360gm,7,2250,1,3,2050.83,2250,1,2050.83,0,PD00000096
97,PRD-00097,Similac With Iron 450g Pow,7,400,1,3,370,400,1,370,0,PD00000097
98,PRD-00098,Abbocin 20mg Inj,8,92.47,1,3,78.53,92.47,1,78.53,0,PD00000098
99,PRD-00099,Abbocin 80mg Inj,8,171.66,1,3,145.85,171.66,1,145.85,0,PD00000099
100,PRD-00100,Abbutol 400mg,8,1.73,1,3,142.36,172.53,100,1.4236,0,PD00000100
101,PRD-00101,Abocain 0.5% 10ml(bupivacaine),8,22.1,1,3,90.31,110.51,5,18.062,0,PD00000101
102,PRD-00102,Abocain 0.5% 20ml(bupivacaine),8,42.5,1,3,180.62,212.5,5,36.124,0,PD00000102
103,PRD-00103,Abocain Spinal Inj,8,52.62,1,3,223.65,263.12,5,44.73,0,PD00000103
104,PRD-00104,"Abocal Tab 10,s",8,259.77,1,3,220.75,259.77,1,220.75,0,PD00000104
105,PRD-00105,Abocran Sachet(abbott),8,49.69,1,3,422.33,496.86,10,42.233,0,PD00000105
106,PRD-00106,Abodine Gargle/mouth Wash 60ml,8,15.29,1,3,13,15.29,1,13,0,PD00000106
107,PRD-00107,Abodine Scrub,8,33,1,3,28.05,33,1,28.05,0,PD00000107
108,PRD-00108,Abozole 100ml Inj,8,59.99,1,3,44,59.99,1,44,0,PD00000108
109,PRD-00109,Abozole 400mg Tab,8,1.37,1,3,116.45,136.98,100,1.1645,0,PD00000109
110,PRD-00110,Abrifam (rifampicin) 450mg,8,6.27,1,3,458,626.89,100,4.58,0,PD00000110
111,PRD-00111,Abrifam (rifampicin) 600mg,8,8.38,1,3,648.93,837.5,100,6.4893,0,PD00000111
112,PRD-00112,Arinac 120ml Susp,8,117.88,1,3,100.19,117.88,1,100.19,0,PD00000112
113,PRD-00113,Arinac Forte Tab,8,10.64,1,3,904.17,1063.74,100,9.0417,0,PD00000113
114,PRD-00114,Arinac Plain Tab,8,5.49,1,3,466.75,549.12,100,4.6675,0,PD00000114
115,PRD-00115,Artifen 20g Gel,8,79.34,1,3,67.44,79.34,1,67.44,0,PD00000115
116,PRD-00116,Artifen 3ml Inj,8,27.39,1,3,116.42,136.97,5,23.284,0,PD00000116
117,PRD-00117,Artifen 50mg Tab,8,7.71,1,3,655.07,770.68,100,6.5507,0,PD00000117
118,PRD-00118,Atrelax 25mg Ing,8,103.38,1,3,390,516.88,5,78,0,PD00000118
119,PRD-00119,Atrelax 50mg Ing,8,193.71,1,3,823.28,968.57,5,164.656,0,PD00000119
120,PRD-00120,Becefol Tab(25's),8,219,1,3,186.15,219,1,186.15,0,PD00000120
121,PRD-00121,Becefol Tab(60s),8,2.6,1,3,132.6,156,60,2.21,0,PD00000121
122,PRD-00122,Bejectal Im/iv 1ml Inj,8,4.82,1,3,39.3,48.17,10,3.93,0,PD00000122
123,PRD-00123,Bejectal Iv Pack 10ml,8,32,1,3,27.2,32,1,27.2,0,PD00000123
124,PRD-00124,Bejectal T Im/iv 1ml Inj,8,5.17,1,3,43.95,51.7,10,4.395,0,PD00000124
125,PRD-00125,Bejectal T Iv Pack 10ml,8,81.06,1,3,68.9,81.06,1,68.9,0,PD00000125
126,PRD-00126,Bevidox 3ml Inj,8,12,1,3,255,300,25,10.2,0,PD00000126
127,PRD-00127,"Bevidox Tab 60,s",8,244.21,1,3,207.58,244.21,1,207.58,0,PD00000127
128,PRD-00128,Body Fuel Powder,8,460,1,3,414,460,1,414,0,PD00000128
129,PRD-00129,"Bremax 1mg Tab 100,s",8,1.66,1,3,141.3,166.23,100,1.413,0,PD00000129
130,PRD-00130,Bremax 2mg Tab,8,2.88,1,3,244.84,288.05,100,2.4484,0,PD00000130
131,PRD-00131,Bremax 60ml Syp,8,33.88,1,3,28.8,33.88,1,28.8,0,PD00000131
132,PRD-00132,"Brufen  Plus  Tab 20,s",8,6.62,1,3,112.56,132.42,20,5.628,0,PD00000132
133,PRD-00133,Brufen 200mg Tab,8,3.97,1,3,337.23,396.74,100,3.3723,0,PD00000133
134,PRD-00134,Brufen 400mg Tab,8,3.03,1,3,643.51,757.07,250,2.57404,0,PD00000134
135,PRD-00135,Brufen 600mg Tab,8,3.04,1,3,93.11,109.54,36,2.586388889,0,PD00000135
136,PRD-00136,Brufen Cream 30gm,8,101.69,1,3,86.44,101.69,1,86.44,0,PD00000136
137,PRD-00137,Brufen Retard Tab,8,12.55,1,3,127.96,150.54,12,10.66333333,0,PD00000137
138,PRD-00138,Brufen Susp Ds 90ml,8,106.99,1,3,90.94,106.99,1,90.94,0,PD00000138
139,PRD-00139,Brufen Susp Plain 120ml,8,117,1,3,99.45,117,1,99.45,0,PD00000139
140,PRD-00140,Bupivacaine Hci 0.5% 20ml,8,42.5,1,3,180.62,212.5,5,36.124,0,PD00000140
141,PRD-00141,Burnol 30g Cream,8,29.79,1,3,25.32,29.79,1,25.32,0,PD00000141
142,PRD-00142,Calcard 60mg Tab,8,6.88,1,3,450,688.1,100,4.5,0,PD00000142
143,PRD-00143,"Cansaar 16mg Tab 28,s",8,27.96,1,3,665.34,782.75,28,23.76214286,0,PD00000143
144,PRD-00144,"Cansaar 32mg Tab 14,s",8,26.28,1,3,312.77,367.96,14,22.34071429,0,PD00000144
145,PRD-00145,"Cansaar 8mg Tab 14,s",8,15.74,1,3,187.3,220.34,14,13.37857143,0,PD00000145
146,PRD-00146,"Cecon 500mg Tab (40,s)",8,180.12,1,3,153.1,180.12,1,153.1,0,PD00000146
147,PRD-00147,Cecon Drops 10ml,8,37.33,1,3,31.37,37.33,1,31.37,0,PD00000147
148,PRD-00148,"Citro Soda Sachet Lemon 100,s",8,13.23,1,3,1124.13,1322.5,100,11.2413,0,PD00000148
149,PRD-00149,Citro Soda Sachet Lemon 20's,8,26.5,1,3,450.5,530,20,22.525,0,PD00000149
150,PRD-00150,"Citro Soda Sachet Orange 20,s",8,26.5,1,3,450.5,530,20,22.525,0,PD00000150
151,PRD-00151,Clindacin 600mg 4ml Inj,8,174.06,1,3,150.7,174.06,1,150.7,0,PD00000151
152,PRD-00152,Clindacin 900mg 6ml Inj,8,281.14,1,3,226.06,281.14,1,226.06,0,PD00000152
153,PRD-00153,Cofcol Elixir 120ml,8,117.96,1,3,100.27,117.96,1,100.27,0,PD00000153
154,PRD-00154,Cofcol Tab,8,2,1,3,425,500,250,1.7,0,PD00000154
155,PRD-00155,Cofloz Cough Syp,8,175,1,3,148.75,175,1,148.75,0,PD00000155
156,PRD-00156,Cofloz Lozenges Honey,8,7,1,3,571.2,672,96,5.95,0,PD00000156
157,PRD-00157,"Colofac 135mg Tab 30,s",8,15.41,1,3,392.94,462.28,30,13.098,0,PD00000157
158,PRD-00158,Cremaffin 120ml Syp,8,90,1,3,76.5,90,1,76.5,0,PD00000158
159,PRD-00159,Cremaffin Emulsion 230ml,8,22.67,1,3,19.27,22.67,1,19.27,0,PD00000159
160,PRD-00160,Dayalets Tab,8,2.96,1,3,75.58,88.92,30,2.519333333,0,PD00000160
161,PRD-00161,Daycor 120ml Syp,8,69,1,3,58.65,69,1,58.65,0,PD00000161
162,PRD-00162,Defal 80/480mg Tab,8,55,1,3,280.5,330,6,46.75,0,PD00000162
163,PRD-00163,Defal Susp 30ml,8,90,1,3,76.5,90,1,76.5,0,PD00000163
164,PRD-00164,Dial A Flo,8,357.47,1,3,181.48,357.47,1,181.48,0,PD00000164
165,PRD-00165,Dijex Mp 120ml Susp,8,90,1,3,76.5,90,1,76.5,0,PD00000165
166,PRD-00166,Dopamine 200mg 5ml Inj(abbot),8,99.89,1,3,84.91,99.89,1,84.91,0,PD00000166
167,PRD-00167,Duphalac 120ml Syp,8,286.54,1,3,243.55,286.54,1,243.55,0,PD00000167
168,PRD-00168,Duphalac 240ml Syp,8,541,1,3,459.86,541,1,459.86,0,PD00000168
169,PRD-00169,"Duphaston 10mg Tab 20,s",8,62.5,1,3,1062.5,1250,20,53.125,0,PD00000169
170,PRD-00170,Easy Feed Bag,8,252.98,1,3,197.98,252.98,1,197.98,0,PD00000170
171,PRD-00171,Econid 1mg Tab,8,4.87,1,3,82.76,97.37,20,4.138,0,PD00000171
172,PRD-00172,Econid 2mg Tab,8,9.94,1,3,168.98,198.8,20,8.449,0,PD00000172
173,PRD-00173,Econid 3mg Tab,8,14.4,1,3,244.8,288,20,12.24,0,PD00000173
174,PRD-00174,Econid 4mg Tab,8,19.47,1,3,331.07,389.49,20,16.5535,0,PD00000174
175,PRD-00175,Enoxabid 400mg Tab,8,47.01,1,3,799.12,940.14,20,39.956,0,PD00000175
176,PRD-00176,Entamizole Susp 90ml,8,109,1,3,92.65,109,1,92.65,0,PD00000176
177,PRD-00177,"Entamizole Tab 30,s",8,8.2,1,3,209.1,246,30,6.97,0,PD00000177
178,PRD-00178,"Entamizole Tab Ds 15,s",8,16.13,1,3,205.7,242,15,13.71333333,0,PD00000178
179,PRD-00179,Epival 120ml Syp,8,233.27,1,3,198.28,233.27,1,198.28,0,PD00000179
180,PRD-00180,"Epival 250mg Tab 100,s",8,8.35,1,3,709.86,835.13,100,7.0986,0,PD00000180
181,PRD-00181,"Epival 500mg Tab 100,s",8,20.9,1,3,1776.5,2090,100,17.765,0,PD00000181
182,PRD-00182,"Epival Cr 500mg Tab 50,s",8,24.28,1,3,1031.74,1213.81,50,20.6348,0,PD00000182
183,PRD-00183,Epival Inj,8,83.17,1,3,70.69,83.17,1,70.69,0,PD00000183
184,PRD-00184,Erybron Granules 60ml,8,69.05,1,3,58.69,69.05,1,58.69,0,PD00000184
185,PRD-00185,Eryderm 60ml Lotion,8,24.83,1,3,21.11,24.83,1,21.11,0,PD00000185
186,PRD-00186,Erythrocin 60ml Syp,8,66.39,1,3,56.43,66.39,1,56.43,0,PD00000186
187,PRD-00187,Erythrocin Drops 30ml,8,42.95,1,3,36.51,42.95,1,36.51,0,PD00000187
188,PRD-00188,Erythrocin Iv 1g Inj,8,57.26,1,3,45.07,57.26,1,45.07,0,PD00000188
189,PRD-00189,Essential 200gr Supplement,8,192.5,1,3,177.1,192.5,1,177.1,0,PD00000189
190,PRD-00190,Ethane 250ml,8,2039,1,3,1869.14,2039,1,1869.14,0,PD00000190
191,PRD-00191,"Ezomol 20mg Cap (14,s)",8,17.85,1,3,212.44,249.92,14,15.17428571,0,PD00000191
192,PRD-00192,"Ezomol 40mg Cap (14,s)",8,24.75,1,3,294.55,346.53,14,21.03928571,0,PD00000192
193,PRD-00193,"Faverin 100mg Tab(10,s)",8,59.09,1,3,502.23,590.86,10,50.223,0,PD00000193
194,PRD-00194,Faverin 50mg Tab,8,21.87,1,3,1115.5,1312.36,60,18.59166667,0,PD00000194
195,PRD-00195,Femoston Conti 1/10mg Tab,8,425,1,3,361.25,425,1,361.25,0,PD00000195
196,PRD-00196,Femoston Conti 1/5mg Tab,8,293.93,1,3,249.84,293.93,1,249.84,0,PD00000196
197,PRD-00197,Fiberad 125g,8,79.19,1,3,72.36,79.19,1,72.36,0,PD00000197
198,PRD-00198,"Flexin 250mg Tab (20,s)",8,12.2,1,3,207.42,244.03,20,10.371,0,PD00000198
199,PRD-00199,"Flexin 500mg Tab (20,s)",8,18.21,1,3,309.64,364.28,20,15.482,0,PD00000199
200,PRD-00200,"Floaid 10mg Tab 14,s",8,34.64,1,3,412.25,485,14,29.44642857,0,PD00000200
201,PRD-00201,Floaid 4mg Sacht,8,16.64,1,3,198.02,232.97,14,14.14428571,0,PD00000201
202,PRD-00202,"Floaid 5mg Tab 14,s",8,24.35,1,3,289.79,340.93,14,20.69928571,0,PD00000202
203,PRD-00203,Forane 100ml,8,2411,1,3,1550,2411,1,1550,0,PD00000203
204,PRD-00204,Formance 300g Powder,8,520,1,3,478.4,520,1,478.4,0,PD00000204
205,PRD-00205,Freestyle Meter,8,2300,1,3,1900,2300,1,1900,0,PD00000205
206,PRD-00206,Freestyle Optium (50s),8,2150,1,3,1450,2150,1,1450,0,PD00000206
207,PRD-00207,Freestyle Optium (loose),8,40,1,3,2400,4000,100,24,0,PD00000207
208,PRD-00208,Freestyle Optium 25s,8,920,1,3,750,920,1,750,0,PD00000208
209,PRD-00209,"Froben 100mg Tab 30,s",8,10.82,1,3,276,324.7,30,9.2,0,PD00000209
210,PRD-00210,"Froben 50mg Tab 30,s",8,10.61,1,3,270.43,318.16,30,9.014333333,0,PD00000210
211,PRD-00211,Froben Gel 20g,8,85.8,1,3,72.93,85.8,1,72.93,0,PD00000211
212,PRD-00212,Froben Gel 50g,8,325.51,1,3,276.68,325.51,1,276.68,0,PD00000212
213,PRD-00213,Froben Sr 200mg Cap,8,18.84,1,3,480.34,565.11,30,16.01133333,0,PD00000213
214,PRD-00214,Gain Plus Food 400g,8,299,1,3,275,299,1,275,0,PD00000214
215,PRD-00215,"Ganaton 50mg Tab 30,s",8,33.17,1,3,845.75,995,30,28.19166667,0,PD00000215
216,PRD-00216,"Ganaton Od Tab 10,s",8,55,1,3,467.5,550,10,46.75,0,PD00000216
217,PRD-00217,Gopten 0.5mg Cap,8,10.82,1,3,91.93,108.15,10,9.193,0,PD00000217
218,PRD-00218,Hidrasec Sachet 10mg (infants),8,92.44,1,3,1257.18,1479.04,16,78.57375,0,PD00000218
219,PRD-00219,"Hytrin 1mg Tab 30,s",8,16.54,1,3,421.69,496.1,30,14.05633333,0,PD00000219
220,PRD-00220,"Hytrin 2mg Tab 30,s",8,23.01,1,3,586.72,690.26,30,19.55733333,0,PD00000220
221,PRD-00221,"Hytrin 5mg Tab 30,s",8,55.22,1,3,1408.14,1656.63,30,46.938,0,PD00000221
222,PRD-00222,Iberet 120ml Syp,8,108.23,1,3,91.99,108.23,1,91.99,0,PD00000222
223,PRD-00223,Iberet 500 Tab,8,116.52,1,3,99.04,116.52,1,99.04,0,PD00000223
224,PRD-00224,Iberet Drops 10ml,8,14.73,1,3,12.52,14.73,1,12.52,0,PD00000224
225,PRD-00225,"Iberet Folic Tab 30,s",8,271,1,3,230.35,271,1,230.35,0,PD00000225
226,PRD-00226,Influvac 0.5ml Vaccine,8,2260.82,1,3,1921.7,2260.82,1,1921.7,0,PD00000226
227,PRD-00227,Isomil Sachet,8,41.4,1,3,190.44,207,5,38.088,0,PD00000227
228,PRD-00228,Isoptin 5mg Inj,8,19.79,1,3,84,98.93,5,16.8,0,PD00000228
229,PRD-00229,Kaltin 120ml Susp,8,23.58,1,3,19.27,23.58,1,19.27,0,PD00000229
230,PRD-00230,Klaricid Drop 30ml,8,281.03,1,3,238.88,281.03,1,238.88,0,PD00000230
231,PRD-00231,Klaricid Susp 125mg/5ml 60ml.,8,560.94,1,3,476.8,560.94,1,476.8,0,PD00000231
232,PRD-00232,Klaricid Susp 250mg/5ml Ds 60ml,8,934,1,3,794.28,934,1,794.28,0,PD00000232
233,PRD-00233,"Klaricid Tab 250mg 10,s",8,53,1,3,450.5,530,10,45.05,0,PD00000233
234,PRD-00234,Klaricid Tab 500mg 10s,8,96,1,3,816,960,10,81.6,0,PD00000234
235,PRD-00235,"Klaricid Tab Xl 500mg 5,s",8,96,1,3,408,480,5,81.6,0,PD00000235
236,PRD-00236,Klaricid Vail 0.5g (abbott),8,203.5,1,3,172.95,203.5,1,172.95,0,PD00000236
237,PRD-00237,Liposyn Ii 20% 200ml,8,353.63,1,3,306,353.63,1,306,0,PD00000237
238,PRD-00238,Loftyl 150mg Tab,8,5.28,1,3,448.57,527.73,100,4.4857,0,PD00000238
239,PRD-00239,Loftyl 300mg Tab,8,12.84,1,3,545.79,642.1,50,10.9158,0,PD00000239
240,PRD-00240,Loftyl 5ml Inj,8,9.84,1,3,41.81,49.19,5,8.362,0,PD00000240
241,PRD-00241,Mammol Ointmemt 15g,8,73.5,1,3,58.96,73.5,1,58.96,0,PD00000241
242,PRD-00242,Melagyn Gel,8,929.49,1,3,711.99,929.49,1,711.99,0,PD00000242
