product_code,barcode,name,category_id,supplier_id,brand_id,pack_size,quantity,pack_purchase_price,pack_sale_price,unit_purchase_price,unit_sale_price,avg_price,narcotics
PRD-00001,PD00000001,ACOZINE INJECTION 10MG/ ML 50ML,1,1,1,1,,0,0,0,0,0,0
PRD-00002,PD00000002,ASPIRIN TABLET 300MG (KPLP) 13453,1,1,1,1000,,0,0,0,0,0,0
PRD-00003,PD00000003,ASPIRIN TABLET 300MG (KPLP) 13454,1,1,1,200,,0,0,0,0,0,0
PRD-00004,PD00000004,BINAPLEX SYRUP 120ML,1,1,1,1,,0,0,0,0,0,0
PRD-00005,PD00000005,BINAPLEX SYRUP 450ML,1,1,1,1,,0,0,0,0,0,0
PRD-00006,PD00000006,BINAPLEX SYRUP 60ML,1,1,1,1,,0,0,0,0,0,0
PRD-00007,PD00000007,BINAPLEX TABLET .,1,1,1,1000,,0,0,0,0,0,0
PRD-00008,PD00000008,BINAQUINE TABLET 250MG (KPLP) 13496,1,1,1,200,,0,0,0,0,0,0
PRD-00009,PD00000009,BINAQUINE TABLET 250MG (KPLP) 13497,1,1,1,1000,,0,0,0,0,0,0
PRD-00010,PD00000010,BINAQUINE TABLET 81MG,1,1,1,1000,,0,0,0,0,0,0
PRD-00011,PD00000011,ALTIM 5ML EYE DROP,1,1,1,1,,0,0,0,0,0,0
PRD-00012,PD00000012,DICIP 5ML EYE DROP,1,1,1,1,,0,0,0,0,0,0
PRD-00013,PD00000013,CARMINATIVE MIXTURE SOLUTION 120ML,1,1,1,1,,38,50,38,50,38,0
PRD-00014,PD00000014,CARMINATIVE MIXTURE SOLUTION 450ML,1,1,1,1,,0,0,0,0,0,0
PRD-00015,PD00000015,ZEVIROL EXPECTORANT 120ML,1,1,1,1,,0,0,0,0,0,0
PRD-00016,PD00000016,ZINCOCID EYE DROP 20ML,1,1,1,1,,0,0,0,0,0,0
PRD-00017,PD00000017,ADERNALINE INJECTION 1MG/ML,1,1,1,100,,0,0,0,0,0,0
