product_code,name,pack_size,unit_purchase_price,unit_sale_price,pack_purchase_price,pack_sale_price,avg_price,margin,quantity,category,brand,supplier,barcode,narcotic,max_discount,formulation,description,rack
PRD-00001,"Hipril 10mg Tab",20,3,3.45,60,69,3,13.04,0,Medicines,"26/A,VIA PALERMO-PARMA-ITALY","Open Purchase",PD00000001,no,,,,
PRD-00002,"Profit Capsules",30,13.88333333,16.33,416.5,490,13.88333333,14.98,0,Medicines,"26/A,VIA PALERMO-PARMA-ITALY","Open Purchase",PD00000002,no,,,,
PRD-00003,Testing,1,1,1,1,1,1,0,0,Medicines,"26/A,VIA PALERMO-PARMA-ITALY","Open Purchase",PD00000003,no,,,,
PRD-00004,"Ceftron 250mg Iv Ing",1,106.6,130,106.6,130,106.6,18,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000004,no,,,,
PRD-00005,"Ceftron 500mg Im Ing",1,0,212,0,212,0,100,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000005,no,,,,
PRD-00006,"Ceftron 500mg Iv Ing",1,171,212,171,212,171,19.34,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000006,no,,,,
PRD-00007,"Ceftron Ig Im Ing",1,351.05,413,351.05,413,351.05,15,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000007,no,,,,
PRD-00008,"Ceftron Ig Iv Ing",1,351.05,413,351.05,413,351.05,15,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000008,no,,,,
PRD-00009,"Ceporin 500mg Tab",12,0,11.11,0,133.3,0,100,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000009,no,,,,
PRD-00010,"Cica Care 12cm*15cm",1,1653.3,1837,1653.3,1837,1653.3,10,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000010,no,,,,
PRD-00011,"Ciprocin 250mg Tab",10,15.81,20,158.1,200,15.81,20.95,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000011,no,,,,
PRD-00012,"Ciprocin 500mg Tab",10,18.3,21.5,183,215,18.3,14.88,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000012,no,,,,
PRD-00013,"Clofenac Gel 20 Gm",1,0,63,0,63,0,100,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000013,no,,,,
PRD-00014,"Dibenol Tab",60,0.66,0.76,39.6,45.55,0.66,13.16,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000014,no,,,,
PRD-00015,"Diltizem 30 Mg Tab",20,0,3.36,0,67.2,0,100,0,Medicines,"3H HOFFMANN HUMAN HEALTH LHR.","Open Purchase",PD00000015,no,,,,
